<html><head><title>AERONET Data Download (Version 3 Direct Sun and Inversion Algorithms)</title><h2>AERONET Data Download (Version 3 Direct Sun and Inversion Algorithms)</h2>
</head>
<body bgcolor= "#FFFFFF" 
>AERONET Version 3<br>
Sao_Paulo<br>
Version 3: Almucantar Level 2.0 Inversion
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
<br>Daily Averages,Contact: PI=Paulo_Artaxo; PI Email=artaxo@if.usp.br <br>
AERONET_AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(fraction),Single_Scattering_Albedo[440nm],Single_Scattering_Albedo[675nm],Single_Scattering_Albedo[870nm],Single_Scattering_Albedo[1020nm],N[Single_Scattering_Albedo[440nm]],N[Single_Scattering_Albedo[675nm]],N[Single_Scattering_Albedo[870nm]],N[Single_Scattering_Albedo[1020nm]],Latitude(Degrees),Longitude(Degrees),Elevation(m),Level,Retrieval_Measurement_Scan_Type<br>
Sao_Paulo,29:06:2002,12:00:00,180,180.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,30:06:2002,12:00:00,181,181.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,01:07:2002,12:00:00,182,182.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,02:07:2002,12:00:00,183,183.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,04:07:2002,12:00:00,185,185.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,08:07:2002,12:00:00,189,189.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,16:07:2002,12:00:00,197,197.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,17:07:2002,12:00:00,198,198.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,23:07:2002,12:00:00,204,204.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,24:07:2002,12:00:00,205,205.000000,0.837000,0.798100,0.763900,0.749800,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,25:07:2002,12:00:00,206,206.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,27:07:2002,12:00:00,208,208.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,28:07:2002,12:00:00,209,209.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,29:07:2002,12:00:00,210,210.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,30:07:2002,12:00:00,211,211.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,06:08:2002,12:00:00,218,218.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,07:08:2002,12:00:00,219,219.000000,0.821875,0.815450,0.783400,0.768675,4,4,4,4,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,08:08:2002,12:00:00,220,220.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,10:08:2002,12:00:00,222,222.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,11:08:2002,12:00:00,223,223.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,12:08:2002,12:00:00,224,224.000000,0.871550,0.834200,0.806000,0.794750,2,2,2,2,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,13:08:2002,12:00:00,225,225.000000,0.868700,0.839350,0.809475,0.801700,4,4,4,4,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,14:08:2002,12:00:00,226,226.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,15:08:2002,12:00:00,227,227.000000,0.915900,0.914850,0.899450,0.894650,2,2,2,2,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,16:08:2002,12:00:00,228,228.000000,0.864100,0.870675,0.853150,0.847675,4,4,4,4,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,18:08:2002,12:00:00,230,230.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,19:08:2002,12:00:00,231,231.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,20:08:2002,12:00:00,232,232.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,23:08:2002,12:00:00,235,235.000000,0.860200,0.837200,0.823000,0.816800,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,24:08:2002,12:00:00,236,236.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,25:08:2002,12:00:00,237,237.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,28:08:2002,12:00:00,240,240.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,29:08:2002,12:00:00,241,241.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,30:08:2002,12:00:00,242,242.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,03:09:2002,12:00:00,246,246.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,04:09:2002,12:00:00,247,247.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,10:09:2002,12:00:00,253,253.000000,0.928533,0.937900,0.920733,0.917067,3,3,3,3,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,11:09:2002,12:00:00,254,254.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,15:09:2002,12:00:00,258,258.000000,0.994700,0.994400,0.993750,0.993350,2,2,2,2,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,17:09:2002,12:00:00,260,260.000000,0.952500,0.959000,0.957900,0.956600,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,18:09:2002,12:00:00,261,261.000000,0.938150,0.934950,0.922750,0.914650,2,2,2,2,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,19:09:2002,12:00:00,262,262.000000,0.917350,0.905300,0.887000,0.878650,2,2,2,2,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,26:09:2002,12:00:00,269,269.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,28:09:2002,12:00:00,271,271.000000,0.942600,0.934100,0.924900,0.921000,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,05:10:2002,12:00:00,278,278.000000,0.939400,0.915000,0.890700,0.885700,2,2,2,2,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,06:10:2002,12:00:00,279,279.000000,0.946750,0.934450,0.915750,0.915350,2,2,2,2,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,07:10:2002,12:00:00,280,280.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,08:10:2002,12:00:00,281,281.000000,0.877850,0.851900,0.826600,0.819750,2,2,2,2,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,10:10:2002,12:00:00,283,283.000000,0.780850,0.830300,0.849900,0.867100,2,2,2,2,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,11:10:2002,12:00:00,284,284.000000,0.898100,0.874750,0.852000,0.847750,4,4,4,4,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,12:10:2002,12:00:00,285,285.000000,0.926000,0.908700,0.889500,0.888000,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,13:10:2002,12:00:00,286,286.000000,0.939100,0.926600,0.913200,0.906600,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,14:10:2002,12:00:00,287,287.000000,0.909800,0.928000,0.932800,0.934400,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,16:10:2002,12:00:00,289,289.000000,0.833267,0.840500,0.823833,0.818033,3,3,3,3,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,25:10:2002,12:00:00,298,298.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,02:11:2002,12:00:00,306,306.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,03:11:2002,12:00:00,307,307.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,08:11:2002,12:00:00,312,312.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,09:11:2002,12:00:00,313,313.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,20:11:2002,12:00:00,324,324.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,21:11:2002,12:00:00,325,325.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,01:12:2002,12:00:00,335,335.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,13:12:2002,12:00:00,347,347.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,18:12:2002,12:00:00,352,352.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,19:12:2002,12:00:00,353,353.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,22:12:2002,12:00:00,356,356.000000,0.995600,0.995300,0.994800,0.994500,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,23:12:2002,12:00:00,357,357.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,27:12:2002,12:00:00,361,361.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,29:12:2002,12:00:00,363,363.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,30:12:2002,12:00:00,364,364.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,07:01:2003,12:00:00,7,7.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,08:01:2003,12:00:00,8,8.000000,0.906500,0.862400,0.832100,0.829700,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,09:01:2003,12:00:00,9,9.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,20:01:2003,12:00:00,20,20.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,02:02:2003,12:00:00,33,33.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,03:02:2003,12:00:00,34,34.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,04:02:2003,12:00:00,35,35.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,07:02:2003,12:00:00,38,38.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,25:02:2003,12:00:00,56,56.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,26:02:2003,12:00:00,57,57.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,27:02:2003,12:00:00,58,58.000000,0.891200,0.890000,0.864100,0.852700,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,28:02:2003,12:00:00,59,59.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,01:03:2003,12:00:00,60,60.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,02:03:2003,12:00:00,61,61.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,03:03:2003,12:00:00,62,62.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,06:03:2003,12:00:00,65,65.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,14:03:2003,12:00:00,73,73.000000,0.883800,0.870900,0.853100,0.845300,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,16:03:2003,12:00:00,75,75.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,19:03:2003,12:00:00,78,78.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,20:03:2003,12:00:00,79,79.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,30:03:2003,12:00:00,89,89.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,02:04:2003,12:00:00,92,92.000000,0.906300,0.867300,0.833600,0.829000,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,14:04:2003,12:00:00,104,104.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,24:04:2003,12:00:00,114,114.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,25:04:2003,12:00:00,115,115.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,27:04:2003,12:00:00,117,117.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,29:04:2003,12:00:00,119,119.000000,0.824800,0.837550,0.824100,0.819500,2,2,2,2,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,22:05:2003,12:00:00,142,142.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,25:05:2003,12:00:00,145,145.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,26:05:2003,12:00:00,146,146.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,01:06:2003,12:00:00,152,152.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,09:06:2003,12:00:00,160,160.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,10:06:2003,12:00:00,161,161.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,11:06:2003,12:00:00,162,162.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,14:06:2003,12:00:00,165,165.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,18:06:2003,12:00:00,169,169.000000,0.887900,0.910700,0.901100,0.902000,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,19:06:2003,12:00:00,170,170.000000,0.914300,0.842900,0.829600,0.831200,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,24:06:2003,12:00:00,175,175.000000,0.769100,0.755900,0.736300,0.735400,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,29:06:2003,12:00:00,180,180.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,04:07:2003,12:00:00,185,185.000000,0.914000,0.918900,0.903200,0.898100,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,08:07:2003,12:00:00,189,189.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,09:07:2003,12:00:00,190,190.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,16:07:2003,12:00:00,197,197.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,18:07:2003,12:00:00,199,199.000000,0.809700,0.778500,0.737400,0.719700,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,19:07:2003,12:00:00,200,200.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,23:07:2003,12:00:00,204,204.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,25:07:2003,12:00:00,206,206.000000,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
Sao_Paulo,31:07:2003,12:00:00,212,212.000000,0.920900,0.862300,0.829400,0.819900,1,1,1,1,-23.561500,-46.734983,786.000000,lev20,Almucantar<br>
